GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.valle.ms_reporte.entity,Reporte,0,43,0,0,0,19,0,10,0,10
,com.valle.ms_reporte,MsReporteApplication,5,3,0,0,2,1,1,1,1,1
,com.valle.ms_reporte.dto,IncendioDTO,0,36,0,0,0,16,0,8,0,8
,com.valle.ms_reporte.controller,ReporteController,0,35,0,2,0,7,0,6,0,5
,com.valle.ms_reporte.model,Incendio,0,53,0,0,0,23,0,12,0,12
,com.valle.ms_reporte.service,ReporteService,0,50,1,3,0,12,1,7,0,6
