GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.valle.ms_alerta,MsAlertaApplication,0,8,0,0,0,3,0,2,0,2
,com.valle.ms_alerta.dto,ReporteDTO,0,37,0,2,0,12,0,10,0,9
,com.valle.ms_alerta.dto,AlertaDTO,0,42,0,2,0,15,0,9,0,8
,com.valle.ms_alerta.service,AlertaService,0,94,1,3,0,18,1,4,0,3
,com.valle.ms_alerta.controller,AlertaController,0,34,1,7,0,9,1,6,0,3
,com.valle.ms_alerta.model,Alerta,0,59,0,2,0,20,0,13,0,12
,com.valle.ms_alerta.config,AppConfig,0,7,0,0,0,2,0,2,0,2
